SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Kyneton,4,90,42,78,83,68,114,115,98,95,61,55,32,32,18,88,1069
Woodend,0,70,32,39,42,43,63,69,81,78,60,42,14,46,14,77,790
Bendigo Region - North,0,31,26,34,31,38,57,45,47,34,18,19,12,6,8,28,435
Loddon,6,27,18,64,52,50,80,56,50,55,17,18,8,6,3,75,573
Bannockburn,6,73,41,61,72,67,91,92,97,106,67,42,19,19,6,55,912
Golden Plains - South,3,55,42,78,77,72,97,83,83,72,48,41,13,10,5,43,834
Winchelsea,3,41,24,46,43,53,77,56,64,59,44,25,10,14,10,49,619
Belmont,4,118,73,120,123,146,186,223,224,243,160,121,68,49,16,118,1983
Corio - Norlane,7,237,108,376,324,375,443,397,323,201,107,82,24,15,17,266,3304
Geelong,9,128,66,96,104,118,169,173,178,187,167,135,70,76,25,127,1826
Geelong West - Hamlyn Heights,13,196,95,182,161,198,286,286,303,369,279,179,107,120,40,204,3001
Grovedale,9,211,124,213,212,226,357,371,364,358,262,179,88,80,7,182,3238
Highton,15,205,94,157,143,166,237,255,259,310,230,163,100,109,38,121,2592
Lara,8,194,104,163,156,171,223,286,249,296,171,98,67,62,20,146,2410
Leopold,6,99,73,109,116,127,233,217,218,178,151,91,37,26,9,71,1762
Newcomb - Moolap,6,111,60,109,141,183,228,193,193,135,101,52,19,21,4,129,1680
Newtown (Vic.),0,92,46,64,54,64,102,105,125,140,123,111,51,62,54,80,1277
North Geelong - Bell Park,8,134,73,118,150,146,196,229,179,189,130,81,49,37,13,137,1857
Clifton Springs,5,111,66,126,99,127,173,174,142,134,110,63,28,23,4,79,1456
Lorne - Anglesea,0,25,28,41,38,22,46,42,59,45,35,21,9,17,6,36,468
Ocean Grove - Barwon Heads,12,204,129,200,164,181,331,319,356,315,265,188,102,94,39,161,3065
Portarlington,0,31,23,51,64,51,69,38,43,41,28,25,6,8,11,55,546
Point Lonsdale - Queenscliff,0,26,9,18,14,14,29,29,34,26,19,18,15,15,6,23,285
Torquay,8,237,109,155,141,150,218,246,244,269,238,151,94,113,55,141,2566
Alexandra,0,28,25,45,56,56,71,76,62,46,29,16,10,3,0,48,583
Euroa,0,20,24,43,44,54,70,65,62,40,31,13,10,11,4,36,531
Kilmore - Broadford,11,128,69,124,120,134,173,172,187,161,107,73,33,38,7,114,1660
Mansfield (Vic.),0,50,19,76,65,79,110,92,81,79,64,32,14,23,8,104,884
Nagambie,0,20,14,32,35,22,42,52,47,44,19,20,15,7,0,40,410
Seymour,4,34,30,53,46,64,89,76,69,49,32,23,12,10,0,86,666
Seymour Region,3,56,41,61,38,32,47,53,49,39,31,13,11,11,0,53,533
Upper Yarra Valley,0,0,0,0,6,5,0,0,0,3,0,0,0,0,0,5,21
Yea,0,18,14,20,27,25,46,39,24,28,13,12,3,6,7,37,320
Benalla,0,43,30,103,92,86,120,129,103,81,50,30,25,14,7,84,1003
Benalla Region,0,22,18,27,35,20,28,28,34,30,24,15,7,3,5,38,332
Rutherglen,0,20,14,32,30,34,37,42,56,50,25,18,15,5,4,24,411
Wangaratta,7,101,58,168,189,195,247,301,240,203,124,94,42,22,21,137,2152
Wangaratta Region,5,52,46,76,74,75,108,104,123,78,64,32,21,15,14,77,957
Beechworth,0,17,12,30,34,32,44,53,39,39,42,30,20,13,8,43,446
Bright - Mount Beauty,6,44,35,57,54,95,99,102,101,64,52,25,16,24,7,129,920
Chiltern - Indigo Valley,0,15,26,24,16,26,38,39,48,28,16,11,3,7,0,24,331
Myrtleford,0,22,12,32,34,33,68,53,27,43,24,16,10,6,0,24,408
Towong,3,32,27,47,41,45,61,54,51,30,33,19,15,15,3,44,519
West Wodonga,7,106,66,128,150,160,230,267,265,208,158,72,31,27,16,132,2025
Wodonga,7,191,111,240,220,248,401,371,397,335,238,133,73,65,20,245,3291
Yackandandah,0,36,19,32,14,33,47,48,54,49,35,25,17,14,0,20,456
Drouin,5,134,89,182,144,152,255,247,227,142,105,67,35,16,9,160,1979
Mount Baw Baw Region,0,32,35,46,47,49,67,56,54,31,33,21,9,16,3,56,564
Trafalgar (Vic.),0,52,28,62,66,85,107,127,98,90,54,38,21,20,6,60,919
Warragul,3,144,81,178,171,188,246,252,226,216,138,64,43,42,17,158,2165
Alps - East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bairnsdale,8,69,54,134,126,160,223,210,148,141,73,56,23,17,10,170,1608
Bruthen - Omeo,3,46,33,69,75,87,90,93,68,59,35,28,6,13,0,64,772
Lake King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakes Entrance,0,47,27,75,83,79,123,94,96,65,37,19,12,6,7,90,872
Orbost,0,14,22,54,50,57,83,52,47,38,21,19,5,6,5,44,514
Paynesville,0,21,23,35,48,37,52,60,48,47,27,14,10,6,6,26,468
Foster,3,38,39,67,71,67,90,80,68,54,34,22,17,4,18,87,756
French Island,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,12
Korumburra,5,63,47,93,94,101,114,106,102,85,33,34,14,19,3,64,978
Leongatha,9,84,50,85,100,97,151,131,104,103,91,43,29,17,13,77,1168
Phillip Island,0,53,43,92,85,104,126,132,110,80,49,39,25,12,12,87,1058
Wilsons Promontory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Wonthaggi - Inverloch,13,98,82,218,213,224,276,255,212,174,98,72,29,37,15,180,2192
Churchill,5,87,56,111,110,115,154,153,143,96,70,39,25,25,7,103,1291
Moe - Newborough,7,96,70,163,175,197,272,240,181,138,91,37,30,27,7,151,1881
Morwell,9,71,48,175,168,168,212,180,133,122,69,39,13,14,12,185,1612
Traralgon,7,229,128,231,257,282,426,398,395,392,273,180,86,69,28,302,3660
Yallourn North - Glengarry,3,60,24,45,38,56,62,59,63,43,23,17,8,7,3,38,550
Alps - West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longford - Loch Sport,0,30,15,27,28,33,53,32,38,33,15,16,5,5,5,42,365
Maffra,5,117,69,140,150,155,194,163,155,115,74,39,40,19,15,121,1570
Rosedale,9,41,19,37,34,43,50,54,45,41,26,14,9,13,4,42,478
Sale,11,140,81,159,153,139,172,205,189,182,122,71,45,43,16,142,1869
Yarram,0,35,24,47,42,51,67,50,37,30,19,15,9,8,5,40,466
Brunswick,17,301,133,257,211,278,440,449,556,841,672,599,324,408,125,430,6053
Brunswick East,7,131,45,117,111,126,171,189,278,399,315,265,175,207,71,206,2812
Brunswick West,17,213,77,123,121,140,207,224,298,369,287,211,142,151,67,220,2878
Coburg,13,343,121,291,261,280,356,384,515,541,412,369,217,267,102,290,4771
Pascoe Vale South,3,117,51,80,58,52,108,117,146,167,156,87,72,87,34,90,1417
Alphington - Fairfield,3,86,19,58,59,83,101,110,154,195,149,134,76,129,76,112,1537
Northcote,5,216,105,209,168,172,308,381,463,635,576,482,280,409,191,358,4950
Thornbury,7,180,88,189,178,210,268,305,406,480,396,333,175,266,85,293,3855
Ascot Vale,14,182,72,146,125,123,169,171,229,298,279,215,151,217,108,248,2758
Essendon - Aberfeldie,12,352,83,177,153,172,238,336,440,552,464,351,222,275,151,355,4352
Flemington,22,158,57,130,118,99,159,127,166,206,188,167,97,151,41,231,2111
Moonee Ponds,8,218,55,81,91,108,139,171,211,309,235,201,137,192,103,164,2410
Carlton,25,452,106,190,150,183,243,177,237,315,244,188,113,157,69,353,3198
Docklands,17,479,57,71,98,82,114,132,219,267,229,181,122,187,83,332,2659
East Melbourne,3,59,9,22,17,14,38,43,76,111,145,135,85,128,67,149,1110
Flemington Racecourse,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,12,30
Kensington (Vic.),14,140,42,81,88,94,125,161,236,305,335,284,181,251,109,216,2655
Melbourne,73,1410,252,404,549,541,557,553,588,708,528,387,238,329,127,1062,8305
North Melbourne,18,431,92,222,207,211,270,256,341,501,392,334,202,286,137,518,4416
Parkville,6,91,33,36,43,66,85,76,96,143,119,86,42,75,23,112,1126
South Yarra - West,0,74,24,27,35,33,41,60,113,173,136,143,92,101,63,141,1269
Southbank,22,550,80,122,152,183,240,279,423,564,459,387,240,438,142,626,4901
West Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Park,8,239,51,71,61,80,110,122,203,281,255,261,168,308,249,279,2739
Elwood,0,170,43,82,92,107,179,209,299,524,461,373,242,357,210,408,3767
Port Melbourne,9,179,57,84,72,90,121,138,208,313,348,303,240,467,328,357,3311
Port Melbourne Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
South Melbourne,13,151,33,80,85,75,97,121,193,266,241,246,137,289,163,240,2418
St Kilda,18,335,82,180,151,208,317,372,634,841,718,589,347,500,210,995,6499
St Kilda East,16,163,72,119,137,158,230,277,410,530,471,387,244,295,146,401,4058
Armadale,3,112,28,67,58,54,75,117,146,210,157,162,92,177,101,136,1707
Prahran - Windsor,9,198,60,130,124,135,222,279,415,675,622,500,322,501,238,522,4950
South Yarra - East,16,358,62,114,136,144,203,227,439,669,686,549,371,546,245,593,5359
Toorak,11,170,32,54,51,60,57,102,147,227,198,169,92,183,129,170,1850
Abbotsford,10,121,28,59,61,67,101,129,205,294,291,226,127,191,72,198,2181
Carlton North - Princes Hill,4,78,32,67,60,89,113,137,179,237,230,175,115,142,78,124,1848
Collingwood,12,90,34,109,84,87,110,124,173,272,246,217,120,166,73,271,2207
Fitzroy,5,89,44,123,92,101,136,136,203,274,251,229,127,206,119,352,2482
Fitzroy North,0,105,39,87,88,114,146,205,269,356,322,253,168,260,120,240,2758
Richmond (Vic.),21,268,86,273,196,211,271,363,639,977,985,846,577,756,376,714,7565
Yarra - North,3,92,32,58,57,58,87,103,137,214,212,166,103,151,109,152,1723
Ashburton (Vic.),0,100,30,47,42,60,63,59,74,93,71,82,39,104,62,47,967
Balwyn,14,253,85,119,60,94,111,127,152,183,137,121,73,94,98,94,1804
Balwyn North,13,262,90,111,126,84,133,157,162,208,158,140,91,148,91,110,2096
Camberwell,8,272,87,104,85,107,141,159,223,246,206,211,142,224,177,132,2515
Glen Iris - East,5,192,74,71,54,61,103,120,162,193,186,179,106,205,177,101,1994
Hawthorn,13,368,99,153,147,188,248,287,355,521,474,459,232,389,259,336,4532
Hawthorn East,9,264,57,78,92,95,139,138,246,378,298,232,172,265,153,201,2813
Kew,11,312,88,139,104,120,187,228,294,374,338,257,148,285,214,233,3334
Kew East,7,71,31,36,40,31,43,55,72,92,76,39,46,60,51,49,809
Surrey Hills (West) - Canterbury,6,193,51,77,90,57,95,86,128,170,175,149,92,172,120,83,1734
Bulleen,5,131,39,81,54,47,98,104,134,139,131,91,55,82,34,87,1313
Doncaster,8,426,120,170,150,142,207,206,281,282,212,174,98,122,50,143,2804
Templestowe,10,245,53,95,92,87,137,135,158,189,155,113,61,129,64,95,1838
Templestowe Lower,7,177,60,87,92,102,108,129,139,179,137,110,66,104,39,80,1619
Doncaster East (North),9,268,75,111,90,72,120,127,158,180,136,94,59,75,33,54,1669
Doncaster East (South),7,323,87,130,97,111,143,146,201,202,172,128,80,96,28,94,2040
Blackburn,8,345,116,174,148,127,189,239,295,338,255,201,116,172,62,128,2932
Blackburn South,3,134,59,92,69,83,98,107,112,158,108,93,66,80,30,62,1365
Box Hill,23,611,100,190,202,170,248,237,285,321,202,186,111,141,37,175,3238
Box Hill North,14,351,97,149,117,138,161,194,210,277,221,155,96,131,51,112,2466
Burwood,14,286,75,108,91,92,112,132,139,136,98,76,68,64,32,92,1622
Burwood East,7,208,70,74,69,80,92,104,137,140,103,69,50,51,13,47,1319
Surrey Hills (East) - Mont Albert,0,128,50,53,53,54,68,82,97,155,140,95,77,119,55,61,1292
Beaumaris,3,127,32,44,58,50,77,73,100,119,92,117,50,117,81,64,1218
Brighton (Vic.),7,277,65,74,91,57,116,119,195,237,185,187,139,254,279,190,2473
Brighton East,3,162,48,83,70,65,85,88,127,164,129,145,92,145,141,99,1657
Cheltenham - Highett (West),9,147,48,82,72,88,82,119,157,196,147,127,80,137,62,88,1621
Hampton,3,243,64,102,91,118,120,132,185,187,179,147,98,183,142,154,2164
Sandringham - Black Rock,0,185,46,58,57,86,103,104,150,208,138,137,88,184,149,123,1817
Bentleigh - McKinnon,14,327,77,150,149,130,165,194,281,304,244,233,131,220,101,163,2903
Carnegie,7,505,87,141,123,160,198,251,320,402,305,251,146,232,82,193,3404
Caulfield - North,11,299,88,159,129,146,201,221,308,352,303,278,162,208,135,246,3234
Caulfield - South,7,175,65,116,90,106,165,170,228,253,230,182,134,174,119,154,2368
Elsternwick,5,146,38,68,69,71,116,135,165,226,206,167,80,189,101,132,1910
Hughesdale,10,152,37,64,44,41,75,98,134,154,114,108,59,90,31,54,1251
Murrumbeena,0,182,50,70,60,65,84,115,142,184,147,119,84,105,43,80,1524
Ormond - Glen Huntly,9,374,64,96,102,91,147,181,244,267,211,175,115,119,61,135,2390
Bentleigh East (North),11,197,58,97,91,119,167,163,201,231,161,151,95,146,66,102,2058
Bentleigh East (South),0,173,78,79,83,86,136,137,165,204,182,129,97,134,58,104,1844
Aspendale Gardens - Waterways,4,99,38,72,66,56,86,90,118,122,92,80,39,69,33,54,1113
Braeside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrum - Patterson Lakes,0,101,43,84,88,72,131,145,160,175,167,110,65,69,18,100,1532
Chelsea - Bonbeach,5,171,69,103,98,127,162,206,270,312,227,176,100,129,30,168,2356
Chelsea Heights,4,47,40,41,41,37,76,80,87,96,56,43,32,14,7,31,728
Cheltenham - Highett (East),14,283,105,192,165,183,242,240,328,440,303,260,148,193,61,195,3361
Edithvale - Aspendale,9,159,61,83,97,82,131,171,172,199,158,157,86,108,31,123,1820
Mentone,9,172,52,72,73,100,127,155,186,237,226,169,103,112,31,98,1902
Moorabbin - Heatherton,5,136,51,71,60,54,95,115,116,141,124,77,51,82,29,79,1282
Moorabbin Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mordialloc - Parkdale,5,188,81,132,116,128,201,247,276,355,279,242,128,193,82,153,2828
Malvern - Glen Iris,6,288,71,98,110,132,143,180,253,394,332,279,175,284,213,216,3171
Malvern East,13,389,101,126,111,116,148,177,234,295,233,206,152,213,183,163,2857
Bundoora - East,8,158,52,86,62,87,125,133,137,130,96,86,37,33,11,69,1302
Greensborough,10,204,114,151,136,156,226,247,307,342,300,215,107,107,35,122,2782
Heidelberg - Rosanna,6,207,79,108,81,97,170,174,229,250,219,187,108,127,50,145,2235
Heidelberg West,9,189,70,178,147,135,177,179,213,259,184,137,67,93,22,232,2297
Ivanhoe,6,135,55,67,61,65,87,97,126,194,166,165,103,156,75,95,1651
Ivanhoe East - Eaglemont,0,67,25,30,37,41,53,52,66,76,70,70,62,64,53,38,797
Montmorency - Briar Hill,5,157,80,119,92,109,174,202,236,309,227,172,92,105,38,100,2224
Viewbank - Yallambie,8,245,82,161,129,134,159,192,276,300,262,202,108,116,35,98,2509
Watsonia,3,92,55,81,62,82,102,128,164,182,134,93,50,48,18,60,1359
Kingsbury,15,270,73,108,85,92,144,144,125,145,88,62,38,56,16,130,1601
