SA2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
Mount Nasura - Mount Richon - Bedfordale,41,169,46,67,157,65,4,36,3,0,293,881
Roleystone,55,159,43,90,174,46,4,28,8,3,241,841
Seville Grove,70,167,68,256,239,129,30,95,3,7,711,1778
Belmont - Ascot - Redcliffe,155,405,91,242,330,121,37,116,16,6,808,2337
East Victoria Park - Carlisle,253,914,139,306,395,138,21,112,16,9,950,3252
Kewdale Commercial,0,0,0,0,0,0,0,0,0,0,0,0
Perth Airport,0,0,0,0,0,0,0,0,0,0,8,8
Rivervale - Kewdale - Cloverdale,259,816,171,449,576,212,59,209,19,12,1711,4502
Victoria Park - Lathlain - Burswood,221,721,112,277,340,120,8,137,15,7,891,2846
Bentley - Wilson - St James,131,654,103,273,304,135,32,194,17,13,1229,3097
Canning Vale - West,79,299,61,110,206,72,8,45,3,7,374,1260
Canning Vale Commercial,0,0,0,0,0,0,0,0,0,0,0,0
Cannington - Queens Park,148,582,125,407,377,183,40,198,30,16,1419,3532
Parkwood - Ferndale - Lynwood,103,442,93,192,288,103,14,87,13,9,648,1990
Riverton - Shelley - Rossmoyne,94,442,48,131,177,62,12,45,5,9,497,1527
Welshpool,0,0,0,0,0,0,0,0,0,0,0,0
Willetton,134,573,78,196,273,82,9,93,5,14,771,2240
Beckenham - Kenwick - Langford,117,417,121,333,380,164,37,199,18,10,1249,3038
Canning Vale - East,216,787,106,349,505,195,34,189,15,10,1154,3572
Gosnells,99,257,96,344,377,179,47,180,10,14,1359,2964
Huntingdale - Southern River,202,555,122,321,537,179,35,150,22,19,1083,3216
Maddington - Orange Grove - Martin,89,186,66,189,227,90,26,131,10,9,864,1889
Thornlie,139,444,125,340,486,193,39,199,22,16,1240,3246
Forrestfield - Wattle Grove,173,465,147,276,540,192,54,138,19,14,937,2956
High Wycombe,105,248,78,198,350,96,37,79,5,6,633,1838
Kalamunda - Maida Vale - Gooseberry Hill,99,356,49,128,273,93,14,47,10,8,463,1544
Lesmurdie - Bickley - Carmel,76,268,43,92,200,46,12,25,5,8,330,1118
Byford,160,354,138,372,511,224,54,105,25,10,941,2906
Mundijong,43,104,38,55,130,54,13,44,5,4,249,735
Serpentine - Jarrahdale,25,62,31,41,63,26,5,23,3,0,170,451
Como,208,829,83,171,307,98,14,44,14,9,633,2409
Manning - Waterford,87,387,27,89,166,54,0,48,0,5,447,1316
South Perth - Kensington,212,791,83,174,266,104,12,43,16,6,774,2485
Banjup,221,787,118,315,586,149,19,87,18,7,840,3148
Bibra Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0,0,0,0,0,0,0
Coogee,72,245,51,120,230,67,9,46,5,7,303,1154
Coolbellup,75,273,59,112,162,66,11,38,8,0,395,1208
Hamilton Hill,119,343,72,174,166,77,18,67,11,0,534,1569
Henderson,0,0,0,0,0,0,0,0,0,0,0,0
North Coogee,35,126,9,25,56,19,0,4,0,0,116,390
South Lake - Cockburn Central,119,375,70,152,274,91,12,67,5,3,527,1710
Spearwood,72,235,65,139,201,100,15,84,6,0,473,1387
Success - Hammond Park,187,658,116,289,544,153,14,107,19,6,928,3025
Yangebup,76,212,52,106,197,75,19,45,6,4,388,1189
Beeliar - Wattleup,103,324,49,121,258,78,14,56,11,9,429,1443
Jandakot,19,72,14,23,46,17,0,5,0,0,86,271
East Fremantle,103,288,21,58,127,33,4,12,7,7,223,874
Fremantle,210,790,92,189,217,83,17,46,9,3,734,2386
Fremantle - South,159,622,90,178,212,94,9,63,14,10,599,2055
O'Connor (WA),0,0,0,0,0,0,0,0,0,0,0,0
Bertram - Wellard (West),145,513,110,328,444,182,40,158,13,10,1001,2946
Calista,52,96,46,92,118,77,13,64,6,0,515,1072
Hope Valley - Postans,0,0,0,0,0,0,0,0,0,0,0,0
Kwinana Industrial,0,0,0,0,0,0,0,0,0,0,0,4
Parmelia - Orelia,66,121,52,176,191,116,26,101,13,0,726,1586
Casuarina - Wandi,54,210,45,94,166,52,3,21,8,3,267,937
Applecross - Ardross,107,434,36,86,187,38,0,22,9,3,410,1346
Bateman,20,164,9,25,48,20,0,13,3,0,125,434
Bicton - Palmyra,167,666,52,157,239,118,21,32,19,3,525,1993
Booragoon,139,572,58,127,229,70,6,30,8,8,555,1791
Bull Creek,57,252,28,65,110,44,0,26,6,7,261,859
Leeming,87,372,36,108,212,59,6,31,5,0,318,1239
Melville,195,625,60,147,327,89,4,39,10,9,486,1988
Murdoch - Kardinya,90,403,56,114,176,62,9,45,7,12,443,1404
Willagee,61,204,25,79,105,22,7,23,3,0,226,751
Winthrop,48,184,11,50,82,26,3,14,0,3,172,605
Baldivis,313,869,274,669,941,373,78,202,39,14,2136,5904
Cooloongup,42,84,36,139,114,61,17,50,4,7,481,1035
Port Kennedy,102,207,79,246,269,156,16,94,17,5,774,1968
Rockingham,94,188,64,225,211,106,23,99,11,3,690,1711
Rockingham Lakes,0,0,0,0,0,0,0,0,0,0,0,0
Safety Bay - Shoalwater,68,196,56,158,163,89,11,45,4,4,492,1294
Singleton - Golden Bay - Secret Harbour,165,515,136,379,443,184,23,104,10,7,1098,3054
Waikiki,88,206,62,185,227,103,18,100,4,8,645,1651
Warnbro,70,141,68,146,193,102,14,89,6,5,625,1450
Albany,107,302,59,200,179,109,15,105,5,8,471,1561
Albany Region,36,53,14,35,40,23,0,31,0,0,107,333
Bayonet Head - Lower King,29,99,20,70,95,39,0,38,3,9,167,558
Denmark,47,98,18,55,63,36,3,33,4,0,210,571
Gnowangerup,73,42,13,22,50,13,6,32,0,0,120,369
Katanning,48,72,17,43,60,32,5,52,0,4,241,578
Kojonup,60,66,20,41,67,19,3,19,3,4,179,491
Little Grove - Elleker,25,58,16,51,50,29,0,11,4,0,67,304
McKail - Willyung,49,158,51,195,175,111,11,97,5,9,465,1319
Plantagenet,45,40,25,48,63,22,6,42,0,0,202,496
Stirling Range National Park,0,0,0,0,0,0,0,0,0,0,0,0
Chittering,49,66,37,62,91,28,15,40,0,0,218,613
Cunderdin,35,56,10,56,50,19,7,38,0,0,175,434
Dowerin,41,62,10,47,85,18,5,25,3,0,158,456
Gingin - Dandaragan,69,77,42,72,115,44,11,140,4,3,322,907
Merredin,52,84,19,50,105,36,8,37,0,0,197,580
Moora,64,61,16,57,84,32,7,46,0,0,201,577
Mukinbudin,41,40,12,37,46,9,11,20,0,0,145,364
Northam,61,162,52,137,179,67,18,60,3,4,495,1240
Toodyay,19,54,16,31,58,16,3,19,0,0,159,371
York - Beverley,40,65,18,48,74,34,0,28,0,0,171,483
Brookton,55,45,12,22,53,8,10,20,0,3,154,377
Kulin,78,65,23,40,83,24,4,42,0,0,169,531
Murray,19,33,14,15,30,7,33,14,0,3,137,311
Narrogin,28,87,22,70,65,28,0,28,0,0,196,522
Wagin,68,83,23,50,75,22,3,22,6,0,181,529
Broome,173,506,61,327,416,132,11,99,16,4,797,2555
Derby - West Kimberley,47,178,18,117,96,33,5,27,5,3,701,1235
Halls Creek,23,55,4,38,19,6,0,17,7,5,386,553
Kununurra,92,219,32,135,156,50,8,50,3,11,474,1219
Roebuck,16,31,7,37,31,8,0,8,0,0,180,321
East Pilbara,40,67,53,28,52,8,98,52,6,5,343,746
Newman,50,111,37,67,84,34,70,57,3,0,278,798
Port Hedland,75,147,49,71,135,40,23,40,0,4,264,841
South Hedland,89,223,64,160,218,79,64,102,10,7,730,1739
Ashburton (WA),109,180,82,129,193,46,137,146,4,9,525,1563
Karratha,196,445,120,296,430,156,82,157,20,7,1086,3005
Roebourne,42,94,47,82,95,22,42,41,10,3,312,782
Esperance,75,232,67,151,208,98,15,106,4,9,476,1449
Esperance Region,92,47,15,24,55,12,9,35,4,0,192,485
Carnarvon,62,89,26,57,90,29,4,55,3,0,270,680
Exmouth,58,76,34,83,93,44,8,61,0,8,221,684
Boulder,38,84,39,103,140,75,61,50,10,6,449,1043
Kalgoorlie,115,345,75,240,306,122,94,115,10,8,784,2225
Kalgoorlie - North,77,324,58,144,197,82,62,73,5,8,482,1507
Kalgoorlie Airport,0,0,0,0,0,0,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,29,47,31,53,59,40,26,38,4,3,290,614
Leinster - Leonora,22,58,10,57,47,8,16,21,5,0,412,664
Trafalgar (WA),0,0,0,0,0,0,0,0,0,0,0,0
Geraldton,62,223,44,142,133,89,15,80,5,8,502,1302
Geraldton - East,42,118,39,103,132,68,11,60,7,3,430,1013
Geraldton - North,70,180,42,117,174,63,12,39,5,0,351,1053
Geraldton - South,80,310,55,173,229,80,12,53,6,11,415,1429
Irwin,25,49,13,42,39,23,3,32,0,0,133,360
Meekatharra,24,43,12,22,32,11,17,24,3,0,191,379
Morawa,66,51,9,31,66,9,8,35,0,0,157,429
Northampton - Mullewa - Greenough,48,75,19,55,73,30,7,51,3,0,236,596
Migratory - Offshore - Shipping (WA),0,3,0,0,0,0,0,0,0,0,0,14
No Usual Address (WA),21,67,30,48,36,24,26,59,6,5,525,838
Bridgewater - Gagebrook,22,29,24,107,63,78,4,82,0,3,571,987
Brighton - Pontville,46,71,25,146,166,86,3,56,10,0,182,785
Old Beach - Otago,48,87,32,103,141,51,3,17,7,0,93,584
Bellerive - Rosny,49,207,15,82,101,45,0,7,8,0,147,664
Cambridge,66,234,29,118,190,41,0,20,12,0,126,849
Geilston Bay - Risdon,30,124,13,62,99,21,0,8,0,4,58,428
Howrah - Tranmere,113,339,54,152,275,76,5,28,15,0,210,1263
Lindisfarne - Rose Bay,58,287,14,82,107,54,0,18,0,0,175,808
Mornington - Warrane,35,97,25,89,102,55,7,29,3,0,243,679
Risdon Vale,15,22,17,53,51,18,9,32,5,0,167,377
Rokeby,46,83,37,117,154,77,3,62,4,7,374,957
South Arm,42,129,24,58,73,34,3,6,5,5,106,482
Austins Ferry - Granton,29,66,20,73,125,45,5,21,9,0,133,524
Berriedale - Chigwell,38,70,31,92,118,51,8,45,5,4,240,694
Claremont (Tas.),54,102,31,153,178,96,3,66,8,0,298,991
Derwent Park - Lutana,36,96,22,85,73,41,0,24,5,0,199,580
Glenorchy,55,155,48,175,207,107,7,103,8,5,540,1404
Montrose - Rosetta,34,93,26,69,106,54,3,31,0,0,167,586
Moonah,53,127,23,92,101,29,8,37,4,0,273,755
New Norfolk,36,58,26,126,89,76,3,56,0,4,302,774
West Moonah,39,95,17,81,80,27,0,37,10,0,186,578
Kingston - Huntingfield,101,405,60,162,263,99,7,36,17,7,404,1566
Kingston Beach - Blackmans Bay,95,347,36,146,195,65,0,34,9,3,284,1214
Margate - Snug,85,209,43,124,187,73,5,35,10,0,247,1010
Mount Wellington,0,0,0,0,0,0,0,0,0,0,0,0
Taroona - Bonnet Hill,29,136,13,34,42,10,0,7,3,0,70,351
Hobart,106,393,47,132,130,39,6,31,12,0,359,1253
Lenah Valley - Mount Stuart,91,424,52,105,181,50,4,22,16,5,232,1180
Mount Nelson - Dynnyrne,36,199,14,54,74,31,0,7,0,0,181,593
New Town,60,258,26,95,96,20,3,25,3,3,246,837
Sandy Bay,112,401,24,139,159,64,4,50,10,4,544,1515
South Hobart - Fern Tree,60,355,31,65,91,30,0,10,10,0,197,850
West Hobart,87,326,34,94,95,45,3,15,6,0,216,915
Dodges Ferry - Lewisham,51,114,39,134,139,71,7,45,11,0,273,884
Sorell - Richmond,71,158,47,140,156,89,10,62,13,0,262,1015
Invermay,21,61,14,40,44,30,0,35,3,0,155,394
Kings Meadows - Punchbowl,27,91,26,61,87,38,4,37,5,6,187,568
Launceston,34,227,15,49,69,34,0,10,9,0,175,637
Legana,17,105,16,54,99,29,3,18,0,0,91,446
Mowbray,19,49,5,59,46,28,3,40,0,0,231,479
Newnham - Mayfield,47,119,36,124,97,80,0,83,10,3,550,1148
Newstead,43,182,24,64,68,43,0,17,6,0,171,619
Norwood (Tas.),23,92,16,62,76,43,0,12,3,4,90,417
Prospect Vale - Blackstone,48,144,28,102,146,48,3,32,4,4,193,748
Ravenswood,10,17,18,53,21,29,0,50,0,3,251,447
Riverside,47,180,33,102,101,58,0,28,5,0,209,756
South Launceston,38,175,28,77,67,45,3,36,0,3,190,662
Summerhill - Prospect,28,106,41,89,92,50,9,31,6,3,160,617
Trevallyn,37,184,27,59,71,39,4,19,0,6,136,574
Waverley - St Leonards,26,63,20,50,69,32,7,24,5,0,166,463
West Launceston,35,189,16,64,64,42,5,11,3,0,147,568
Youngtown - Relbia,41,109,24,63,117,44,0,20,4,0,138,557
Beauty Point - Beaconsfield,14,30,14,38,21,28,0,17,0,0,135,301
Deloraine,41,78,29,65,51,22,3,56,3,0,233,586
Grindelwald - Lanena,50,100,18,75,67,42,5,26,0,3,155,545
Hadspen - Carrick,17,83,14,44,83,32,6,19,6,0,103,406
Westbury,35,56,24,42,45,30,4,17,0,0,142,399
Dilston - Lilydale,24,87,20,42,67,23,0,22,0,0,125,420
George Town,24,59,14,70,60,47,11,59,0,0,355,706
Longford,16,48,8,52,57,32,6,26,10,0,154,398
Northern Midlands,28,33,16,35,37,32,6,41,0,0,169,406
Perth - Evandale,35,80,28,62,113,46,3,26,3,0,159,563
St Helens - Scamander,23,60,16,66,61,34,3,43,4,0,192,499
Flinders and Cape Barren Islands,13,12,3,7,10,7,0,3,0,0,29,83
Scottsdale - Bridport,52,68,30,58,61,55,5,53,0,0,276,656
Central Highlands,11,19,12,22,14,14,0,24,0,0,83,200
Derwent Valley,14,36,13,56,50,18,3,11,0,0,117,322
Southern Midlands,34,50,29,84,97,66,4,45,9,3,217,634
Wilderness - East,0,0,0,0,0,0,0,0,0,0,0,5
Bruny Island - Kettering,19,48,16,34,28,8,0,19,0,0,79,255
Cygnet,21,49,25,45,44,26,0,24,0,0,178,411
Geeveston - Dover,12,40,17,32,37,17,5,41,0,3,143,345
Huonville - Franklin,58,143,35,132,161,61,8,68,9,5,307,977
Forestier - Tasman,13,16,5,21,19,13,0,20,0,0,78,185
Triabunna - Bicheno,40,26,19,57,38,29,0,47,0,0,111,374
Acton - Upper Burnie,7,52,15,47,47,37,0,30,5,0,156,402
Burnie - Ulverstone Region,47,63,24,50,76,43,5,38,0,0,163,516
Burnie - Wivenhoe,28,49,12,49,52,32,3,34,3,0,194,455
Parklands - Camdale,39,135,30,87,81,47,5,36,3,0,259,726
Penguin - Sulphur Creek,25,108,20,68,94,42,0,29,5,0,171,557
Romaine - Havenview,30,63,18,53,58,31,0,28,3,0,142,422
Somerset,22,59,11,49,53,45,5,29,8,0,146,421
Ulverstone,39,115,23,103,92,71,4,42,0,3,220,714
West Ulverstone,11,43,21,52,37,38,6,26,0,0,162,405
Wynyard,36,93,18,74,69,49,10,33,0,0,239,623
Devonport,74,211,62,235,181,109,14,110,6,9,580,1584
East Devonport,15,45,15,53,44,35,6,59,3,0,246,509
Latrobe,45,74,25,76,60,47,5,44,0,0,172,538
Miandetta - Don,25,75,27,59,86,41,0,23,0,0,133,464
Port Sorell,33,102,29,64,52,48,7,30,6,0,151,522
Quoiba - Spreyton,22,47,15,62,53,22,4,24,5,6,82,338
Sheffield - Railton,32,87,29,84,65,47,3,54,3,0,220,629
Turners Beach - Forth,24,92,20,44,32,27,3,19,0,0,69,333
King Island,25,29,7,13,22,9,4,26,0,0,44,181
North West,64,49,13,50,43,26,3,59,8,3,133,442
Smithton,30,38,16,51,54,39,6,53,0,0,129,420
Waratah,20,50,6,30,42,12,0,39,3,5,145,360
West Coast (Tas.),18,44,21,58,40,33,4,51,5,3,230,497
Wilderness - West,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,0,0,0,0,0,0,0,0,0,0,3
No Usual Address (Tas.),0,13,4,7,6,3,0,4,0,0,69,120
Darwin Airport,0,0,0,0,0,0,0,0,0,0,0,3
Darwin City,120,250,59,185,186,77,9,87,8,6,495,1472
East Point,0,0,0,0,0,0,0,0,0,0,0,5
Fannie Bay - The Gardens,72,164,23,58,86,19,0,19,0,0,135,577
Larrakeyah,61,169,30,74,103,30,3,29,5,0,214,713
Ludmilla - The Narrows,34,73,16,43,57,12,0,17,4,0,157,420
Parap,47,154,16,35,87,19,8,11,3,0,185,562
Stuart Park,86,210,36,98,139,49,7,28,11,0,235,904
Woolner - Bayview - Winnellie,62,142,14,56,74,31,4,11,5,0,118,513
Alawa,18,75,12,38,41,20,7,16,0,0,120,352
Anula,29,80,10,41,48,27,0,21,4,0,92,350
Berrimah,14,18,0,16,27,5,0,11,0,0,75,161
Brinkin - Nakara,23,175,7,74,67,38,4,24,0,5,169,584
Buffalo Creek,0,0,0,0,0,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0,0,0,0,0,0
Coconut Grove,24,153,15,72,80,36,0,36,0,4,179,595
East Arm,4,0,0,0,0,0,0,0,0,0,0,4
Jingili,24,68,14,27,37,16,0,15,7,0,64,261
Karama,40,121,18,101,141,46,3,37,3,0,278,790
Leanyer,60,174,23,75,123,50,3,30,10,7,162,708
Lyons (NT),82,243,30,125,169,40,4,19,11,9,240,973
Malak - Marrara,36,140,20,64,110,31,9,25,10,5,229,671
Millner,31,95,11,60,69,32,3,28,3,3,117,456
Moil,37,71,3,27,42,14,0,21,4,0,87,297
Nightcliff,59,238,21,70,89,25,0,30,0,0,215,755
Rapid Creek,32,211,15,76,64,33,0,21,3,4,195,648
Tiwi,24,148,13,37,57,16,0,9,3,0,104,410
Wagaman,10,53,15,44,50,30,0,27,0,4,115,345
Wanguri,30,85,5,28,21,22,0,15,4,0,74,271
Wulagi,19,86,18,43,74,16,0,17,3,3,105,389
Howard Springs,41,74,21,36,97,14,12,13,8,3,178,493
Humpty Doo,136,193,54,122,309,67,20,46,9,3,313,1268
Koolpinyah,0,0,0,0,0,0,0,0,0,0,0,3
Virginia,45,61,14,48,83,26,4,16,4,0,116,420
Weddell,47,74,27,48,106,27,9,28,6,0,218,590
Bakewell,47,86,32,68,144,37,3,20,3,5,142,586
Driver,31,75,18,42,91,28,9,30,6,6,155,480
